Rk,Player,Pos,Squad,Federation,Gls,Sh,G/Sh
531,Dominik Livaković,GK,hr Croatia,UEFA,0,0,
737,Isidro Pitta,FW,py Paraguay,CONMEBOL,0,0,
755,Juan Quintero,FWMF,co Colombia,CONMEBOL,0,4,0
198,Carney Chukwuemeka,MF,at Austria,UEFA,0,2,0
850,Ken Sema,FWMF,se Sweden,UEFA,0,1,0
998,Wout Weghorst,FW,nl Netherlands,UEFA,0,0,
356,Florian Grillitsch,DFMF,at Austria,UEFA,0,0,
863,Lawrence Shankland,FW,sct Scotland,UEFA,0,4,0
209,Diogo Costa,GK,pt Portugal,UEFA,0,0,
154,Brian Brobbey,FW,nl Netherlands,UEFA,3,4,0.75
506,Matej Kovar,GK,cz Czechia,UEFA,0,0,
715,Marco Pašalić,MF,hr Croatia,UEFA,0,3,0
719,Aleksandar Pavlovic,MF,de Germany,UEFA,0,4,0
815,Michal Sadílek,MF,cz Czechia,UEFA,1,7,0.14
887,Çağlar Söyüncü,DF,tr Türkiye,UEFA,0,0,
100,Esmir Bajraktarevic,MF,ba Bosnia–Herz,UEFA,0,3,0
344,Andrés Gómez,MF,co Colombia,CONMEBOL,0,0,
308,Enzo Fernández,MF,ar Argentina,CONMEBOL,2,12,0.17
399,Jorrel Hato,DF,nl Netherlands,UEFA,0,0,
197,Ryan Christie,MF,sct Scotland,UEFA,0,2,0
904,Crysencio Summerville,FW,nl Netherlands,UEFA,2,2,1
766,Raphinha,MFFW,br Brazil,CONMEBOL,0,3,0
747,Lukáš Provod,FW,cz Czechia,UEFA,0,1,0
239,Rodrigo De Paul,MF,ar Argentina,CONMEBOL,0,2,0
602,Yaimar Medina,DFMF,ec Ecuador,CONMEBOL,0,1,0
985,Vitinha,MF,pt Portugal,UEFA,0,4,0
106,Valentín Barco,DFMF,ar Argentina,CONMEBOL,0,0,
354,Ryan Gravenberch,MF,nl Netherlands,UEFA,0,5,0
741,Jackson Porozo,DF,ec Ecuador,CONMEBOL,0,0,
888,Djed Spence,DF,eng England,UEFA,0,2,0
467,Ferdi Kadioglu,DF,tr Türkiye,UEFA,0,1,0
757,Adrien Rabiot,MF,fr France,UEFA,0,9,0
307,Bruno Fernandes,MF,pt Portugal,UEFA,0,9,0
348,Nicolás González,MF,ar Argentina,CONMEBOL,0,7,0
379,Dennis Hadžikadunić,DF,ba Bosnia–Herz,UEFA,0,0,
371,Joško Gvardiol,DF,hr Croatia,UEFA,0,1,0
679,Ørjan Nyland,GK,no Norway,UEFA,0,0,
790,Rodri,MF,es Spain,UEFA,0,7,0
1018,Kenan Yıldız,MF,tr Türkiye,UEFA,0,14,0
81,Jhon Arias,MF,co Colombia,CONMEBOL,1,9,0.11
