Rk,Player,Squad,90s,CrdY,CrdR,2CrdY,Fls,Code,Team,Confederation,Cards_received,Cards_per_100_fouls
1013,Lamine Yamal,es Spain,6.8,0,0,0,14,es,Spain,UEFA,0,0.0
1027,Denis Zakaria,ch Switzerland,4.0,2,0,0,4,ch,Switzerland,UEFA,2,50.0
360,Marc Guéhi,eng England,7.4,1,0,0,4,eng,England,UEFA,1,25.0
808,Julian Ryerson,no Norway,2.5,0,0,0,6,no,Norway,UEFA,0,0.0
89,Fredrik Aursnes,no Norway,3.4,0,0,0,5,no,Norway,UEFA,0,0.0
158,Ante Budimir,hr Croatia,1.7,0,0,0,6,hr,Croatia,UEFA,0,0.0
408,Jack Hendry,sct Scotland,3.0,0,0,0,1,sct,Scotland,UEFA,0,0.0
480,Nikola Katić,ba Bosnia–Herz,3.5,1,0,0,4,ba,Bosnia–Herz,UEFA,1,25.0
234,Kevin De Bruyne,be Belgium,4.2,1,0,0,2,be,Belgium,UEFA,1,50.0
543,Dodi Lukebakio,be Belgium,1.8,0,0,0,1,be,Belgium,UEFA,0,0.0
1024,İsmail Yüksek,tr Türkiye,1.5,0,0,0,2,tr,Türkiye,UEFA,0,0.0
742,Pedro Porro,es Spain,6.3,0,0,0,10,es,Spain,UEFA,0,0.0
508,Ladislav Krejčí,cz Czechia,3.0,1,0,0,6,cz,Czechia,UEFA,1,16.666666666666664
31,Kristoffer Ajer,no Norway,5.3,1,0,0,2,no,Norway,UEFA,1,50.0
806,Fabián Ruiz Peña,es Spain,3.6,0,0,0,1,es,Spain,UEFA,0,0.0
266,Jeremy Doku,be Belgium,3.4,0,0,0,4,be,Belgium,UEFA,0,0.0
117,Maximilian Beier,de Germany,0.3,0,0,0,1,de,Germany,UEFA,0,0.0
281,Eren Elmalı,tr Türkiye,1.2,1,0,0,2,tr,Türkiye,UEFA,1,50.0
349,Anthony Gordon,eng England,4.4,0,0,0,4,eng,England,UEFA,0,0.0
1026,Warren Zaïre-Emery,fr France,1.2,0,0,0,1,fr,France,UEFA,0,0.0
959,Dayot Upamecano,fr France,7.3,0,0,0,7,fr,France,UEFA,0,0.0
863,Lawrence Shankland,sct Scotland,1.9,0,0,0,5,sct,Scotland,UEFA,0,0.0
198,Carney Chukwuemeka,at Austria,0.9,0,0,0,2,at,Austria,UEFA,0,0.0
818,Bukayo Saka,eng England,4.0,0,0,0,4,eng,England,UEFA,0,0.0
652,David Møller Wolfe,no Norway,4.8,0,0,0,7,no,Norway,UEFA,0,0.0
221,Findlay Curtis,sct Scotland,0.1,1,0,0,1,sct,Scotland,UEFA,1,100.0
842,Nico Schlotterbeck,de Germany,1.5,0,0,0,2,de,Germany,UEFA,0,0.0
38,David Alaba,at Austria,3.1,0,0,0,2,at,Austria,UEFA,0,0.0
902,Pavel Šulc,cz Czechia,2.1,0,0,0,2,cz,Czechia,UEFA,0,0.0
952,Leandro Trossard,be Belgium,5.6,0,0,0,4,be,Belgium,UEFA,0,0.0
356,Florian Grillitsch,at Austria,1.0,0,0,0,3,at,Austria,UEFA,0,0.0
519,Aymeric Laporte,es Spain,8.1,1,0,0,5,es,Spain,UEFA,1,20.0
716,Mario Pašalić,hr Croatia,1.4,0,0,0,2,hr,Croatia,UEFA,0,0.0
757,Adrien Rabiot,fr France,6.5,1,0,0,13,fr,France,UEFA,1,7.6923076923076925
580,Igor Matanović,hr Croatia,1.1,0,0,0,4,hr,Croatia,UEFA,0,0.0
